"id","name","price","active","category","sort_order","source_group_buy_id","created_at","updated_at"
"p016","Mazdutide 10mg","160.00","true",,"16",,"""2026-03-18T15:19:10.713Z""","""2026-03-18T15:19:10.713Z"""
"p017","Survodutide 10mg","170.00","true",,"17",,"""2026-03-18T15:19:10.716Z""","""2026-03-18T15:19:10.716Z"""
"p018","GAC water 10ml","25.00","true",,"18",,"""2026-03-18T15:19:10.719Z""","""2026-03-18T15:19:10.719Z"""
"p019","BAC water 10ml","25.00","true",,"19",,"""2026-03-18T15:19:10.721Z""","""2026-03-18T15:19:10.721Z"""
"p020","GAC water 3ml","15.00","true",,"20",,"""2026-03-18T15:19:10.724Z""","""2026-03-18T15:19:10.724Z"""
"p021","BAC water 3ml","15.00","true",,"21",,"""2026-03-18T15:19:10.727Z""","""2026-03-18T15:19:10.727Z"""
"p022","L-Carnitine 500mg×20ml×10vials Water","160.00","true",,"22",,"""2026-03-18T15:19:10.729Z""","""2026-03-18T15:19:10.729Z"""
"p023","Cyanocobalamin B12 1mg ×10ml×10vials water","60.00","true",,"23",,"""2026-03-18T15:19:10.732Z""","""2026-03-18T15:19:10.732Z"""
"p024","HGH 10IU","50.00","true",,"24",,"""2026-03-18T15:19:10.735Z""","""2026-03-18T15:19:10.735Z"""
"p025","IGF-1 LR3 1mg","210.00","true",,"25",,"""2026-03-18T15:19:10.738Z""","""2026-03-18T15:19:10.738Z"""
"p026","5-Amino-1MQ 50mg","75.00","true",,"26",,"""2026-03-18T15:19:10.740Z""","""2026-03-18T15:19:10.740Z"""
"p027","5-Amino-1MQ 10mg","55.00","true",,"27",,"""2026-03-18T15:19:10.743Z""","""2026-03-18T15:19:10.743Z"""
"p028","Adipotide 10mg","165.00","true",,"28",,"""2026-03-18T15:19:10.746Z""","""2026-03-18T15:19:10.746Z"""
"p029","VIP 10mg","125.00","true",,"29",,"""2026-03-18T15:19:10.749Z""","""2026-03-18T15:19:10.749Z"""
"p030","BPC 157 10mg","45.00","true",,"30",,"""2026-03-18T15:19:10.751Z""","""2026-03-18T15:19:10.751Z"""
"p031","BPC 157 40mg","160.00","true",,"31",,"""2026-03-18T15:19:10.754Z""","""2026-03-18T15:19:10.754Z"""
"p032","TB500 (TB4) 10mg","85.00","true",,"32",,"""2026-03-18T15:19:10.756Z""","""2026-03-18T15:19:10.756Z"""
"p033","TB500 (TB4) 20mg","165.00","true",,"33",,"""2026-03-18T15:19:10.759Z""","""2026-03-18T15:19:10.759Z"""
"p034","Abaloparatide 3mg","100.00","true",,"34",,"""2026-03-18T15:19:10.762Z""","""2026-03-18T15:19:10.762Z"""
"p035","Teriparatide 750mcg","75.00","true",,"35",,"""2026-03-18T15:19:10.765Z""","""2026-03-18T15:19:10.765Z"""
"p036","Fragment 176-191 5mg","75.00","true",,"36",,"""2026-03-18T15:19:10.773Z""","""2026-03-18T15:19:10.773Z"""
"p037","PT141 10mg","60.00","true",,"37",,"""2026-03-18T15:19:10.776Z""","""2026-03-18T15:19:10.776Z"""
"p038","Kisspeptin 10mg","70.00","true",,"38",,"""2026-03-18T15:19:10.779Z""","""2026-03-18T15:19:10.779Z"""
"p039","Epitalon 10mg","45.00","true",,"39",,"""2026-03-18T15:19:10.782Z""","""2026-03-18T15:19:10.782Z"""
"p040","Epitalon 50mg","200.00","true",,"40",,"""2026-03-18T15:19:10.784Z""","""2026-03-18T15:19:10.784Z"""
"p041","N-Acetyl Epitalon 20mg","110.00","true",,"41",,"""2026-03-18T15:19:10.787Z""","""2026-03-18T15:19:10.787Z"""
"p042","Melanotan II 10mg","40.00","true",,"42",,"""2026-03-18T15:19:10.790Z""","""2026-03-18T15:19:10.790Z"""
"p043","Melanotan I 10mg","50.00","true",,"43",,"""2026-03-18T15:19:10.792Z""","""2026-03-18T15:19:10.792Z"""
"p044","CJC-1295 with DAC 5mg","120.00","true",,"44",,"""2026-03-18T15:19:10.794Z""","""2026-03-18T15:19:10.794Z"""
"p045","CJC-1295 No DAC 10mg","140.00","true",,"45",,"""2026-03-18T15:19:10.797Z""","""2026-03-18T15:19:10.797Z"""
"p046","Tesa / IPA / CJC No DAC 6/3/3mg","130.00","true",,"46",,"""2026-03-18T15:19:10.800Z""","""2026-03-18T15:19:10.800Z"""
"p047","GHRP-6 10mg","50.00","true",,"47",,"""2026-03-18T15:19:10.802Z""","""2026-03-18T15:19:10.802Z"""
"p048","GHRP-2 10mg","50.00","true",,"48",,"""2026-03-18T15:19:10.805Z""","""2026-03-18T15:19:10.805Z"""
"p049","Tesamorelin 10mg","125.00","true",,"49",,"""2026-03-18T15:19:10.808Z""","""2026-03-18T15:19:10.808Z"""
"p050","Tesamorelin 20mg","220.00","true",,"50",,"""2026-03-18T15:19:10.811Z""","""2026-03-18T15:19:10.811Z"""
"p051","Mots-C 10mg","55.00","true",,"51",,"""2026-03-18T15:19:10.814Z""","""2026-03-18T15:19:10.814Z"""
"p052","Mots-C 20mg","95.00","true",,"52",,"""2026-03-18T15:19:10.817Z""","""2026-03-18T15:19:10.817Z"""
"p053","Mots-C 40mg","160.00","true",,"53",,"""2026-03-18T15:19:10.820Z""","""2026-03-18T15:19:10.820Z"""
"p054","SS-31 10mg","75.00","true",,"54",,"""2026-03-18T15:19:10.823Z""","""2026-03-18T15:19:10.823Z"""
"p055","SS-31 30mg","155.00","true",,"55",,"""2026-03-18T15:19:10.826Z""","""2026-03-18T15:19:10.826Z"""
"p056","SS-31 50mg","230.00","true",,"56",,"""2026-03-18T15:19:10.828Z""","""2026-03-18T15:19:10.828Z"""
"p057","Ipamorelin 10mg","80.00","true",,"57",,"""2026-03-18T15:19:10.831Z""","""2026-03-18T15:19:10.831Z"""
"p058","Thymosin Alpha-1 10mg","125.00","true",,"58",,"""2026-03-18T15:19:10.834Z""","""2026-03-18T15:19:10.834Z"""
"p059","Thymulin 20mg","100.00","true",,"59",,"""2026-03-18T15:19:10.836Z""","""2026-03-18T15:19:10.836Z"""
"p060","Adamax 10mg (1032 da)","250.00","true",,"60",,"""2026-03-18T15:19:10.838Z""","""2026-03-18T15:19:10.838Z"""
"p061","Semax 10mg","55.00","true",,"61",,"""2026-03-18T15:19:10.842Z""","""2026-03-18T15:19:10.842Z"""
"p062","Selank 10mg","55.00","true",,"62",,"""2026-03-18T15:19:10.845Z""","""2026-03-18T15:19:10.845Z"""
"p063","Na Semax","70.00","true",,"63",,"""2026-03-18T15:19:10.848Z""","""2026-03-18T15:19:10.848Z"""
"p064","Na Selank","70.00","true",,"64",,"""2026-03-18T15:19:10.851Z""","""2026-03-18T15:19:10.851Z"""
"p065","IllumiNeuro (PE10mg+Pinealon 10mg+Na Semax 20mg+Na Selank 8mg)","240.00","true",,"65",,"""2026-03-18T15:19:10.854Z""","""2026-03-18T15:19:10.854Z"""
"p066","Fox04 10mg","300.00","true",,"66",,"""2026-03-18T15:19:10.856Z""","""2026-03-18T15:19:10.856Z"""
"p067","Oxytocin 10mg (<99)","60.00","true",,"67",,"""2026-03-18T15:19:10.859Z""","""2026-03-18T15:19:10.859Z"""
"p068","Snap-8 10mg","40.00","true",,"68",,"""2026-03-18T15:19:10.862Z""","""2026-03-18T15:19:10.862Z"""
"p069","DSIP 5mg","35.00","true",,"69",,"""2026-03-18T15:19:10.865Z""","""2026-03-18T15:19:10.865Z"""
"p070","DSIP 10mg","65.00","true",,"70",,"""2026-03-18T15:19:10.868Z""","""2026-03-18T15:19:10.868Z"""
"p071","BPC 5mg / TB4 5mg Blend","80.00","true",,"71",,"""2026-03-18T15:19:10.871Z""","""2026-03-18T15:19:10.871Z"""
"p072","BPC 10mg / TB4 10mg Blend","135.00","true",,"72",,"""2026-03-18T15:19:10.874Z""","""2026-03-18T15:19:10.874Z"""
"p073","CJC No DAC / Ipa 5/5mg","75.00","true",,"73",,"""2026-03-18T15:19:10.886Z""","""2026-03-18T15:19:10.886Z"""
"p074","CJC 6mg / Ipa 11mg Blend","160.00","true",,"74",,"""2026-03-18T15:19:10.888Z""","""2026-03-18T15:19:10.888Z"""
"p075","Tesa 5mg / Ipa 5mg Blend","110.00","true",,"75",,"""2026-03-18T15:19:10.891Z""","""2026-03-18T15:19:10.891Z"""
"p076","Tesa 10mg / Ipa 3mg Blend","165.00","true",,"76",,"""2026-03-18T15:19:10.893Z""","""2026-03-18T15:19:10.893Z"""
"p077","AHK-CU 100mg","60.00","true",,"77",,"""2026-03-18T15:19:10.896Z""","""2026-03-18T15:19:10.896Z"""
"p078","GHK-CU 100mg","51.00","true",,"78",,"""2026-03-18T15:19:10.899Z""","""2026-03-18T15:19:10.899Z"""
"p079","GHK-CU 50mg","40.00","true",,"79",,"""2026-03-18T15:19:10.902Z""","""2026-03-18T15:19:10.902Z"""
"p080","NAD+ 500mg Buffer pH6-6.5","95.00","true",,"80",,"""2026-03-18T15:19:10.905Z""","""2026-03-18T15:19:10.905Z"""
"p081","TB500 Frag 10mg","70.00","true",,"81",,"""2026-03-18T15:19:10.908Z""","""2026-03-18T15:19:10.908Z"""
"p082","PNC 27 30mg (this batch 28mg)","240.00","true",,"82",,"""2026-03-18T15:19:10.910Z""","""2026-03-18T15:19:10.910Z"""
"p083","LL-37 5mg","85.00","true",,"83",,"""2026-03-18T15:19:10.913Z""","""2026-03-18T15:19:10.913Z"""
"p084","KPV 10mg","60.00","true",,"84",,"""2026-03-18T15:19:10.915Z""","""2026-03-18T15:19:10.915Z"""
"p085","KPV 30mg","145.00","true",,"85",,"""2026-03-18T15:19:10.918Z""","""2026-03-18T15:19:10.918Z"""
"p086","Sermorelin 5mg","70.00","true",,"86",,"""2026-03-18T15:19:10.921Z""","""2026-03-18T15:19:10.921Z"""
"p087","KPV & GHK-CU Blend","110.00","true",,"87",,"""2026-03-18T15:19:10.923Z""","""2026-03-18T15:19:10.923Z"""
"p088","GLOW (TB4 10mg + BPC 10mg + GHK 50mg)","135.00","true",,"88",,"""2026-03-18T15:19:10.926Z""","""2026-03-18T15:19:10.926Z"""
"p089","KLOW (TB 10mg + BPC 10mg + KPV 10mg + GHK 50mg)","160.00","true",,"89",,"""2026-03-18T15:19:10.929Z""","""2026-03-18T15:19:10.929Z"""
"p090","PE-22-28 10mg","70.00","true",,"90",,"""2026-03-18T15:19:10.931Z""","""2026-03-18T15:19:10.931Z"""
"p091","Ara-290 16mg","60.00","true",,"91",,"""2026-03-18T15:19:10.934Z""","""2026-03-18T15:19:10.934Z"""
"p092","Tri-Heal Max (TB4 25mg + BPC 10mg + KPV 10mg)","380.00","true",,"92",,"""2026-03-18T15:19:10.936Z""","""2026-03-18T15:19:10.936Z"""
"p093","Slup-332 500mcg","60.00","true",,"93",,"""2026-03-18T15:19:10.939Z""","""2026-03-18T15:19:10.939Z"""
"p094","Bam-15 50mg (USA — no resend)","300.00","true",,"94",,"""2026-03-18T15:19:10.942Z""","""2026-03-18T15:19:10.942Z"""
"p095","SLU 100mcg / BAM 25mg Blend 60 Tabs","95.00","true",,"95",,"""2026-03-18T15:19:10.944Z""","""2026-03-18T15:19:10.944Z"""
"p096","HCG 1000 IU GMP 3ml 10vials","40.00","true",,"96",,"""2026-03-18T15:19:10.946Z""","""2026-03-18T15:19:10.946Z"""
"p097","HCG 2000 IU GMP 3ml 10vials","70.00","true",,"97",,"""2026-03-18T15:19:10.950Z""","""2026-03-18T15:19:10.950Z"""
"p098","HCG 5000 IU GMP 3ml 10vials","175.00","true",,"98",,"""2026-03-18T15:19:10.952Z""","""2026-03-18T15:19:10.952Z"""
"p099","Glutathione 600mg GMP 10ml 10vials","45.00","true",,"99",,"""2026-03-18T15:19:10.955Z""","""2026-03-18T15:19:10.955Z"""
"p100","Glutathione 1500mg GMP 20ml 10vials","85.00","true",,"100",,"""2026-03-18T15:19:10.958Z""","""2026-03-18T15:19:10.958Z"""
"p101","HMG 75IU × 10vials GMP","75.00","true",,"101",,"""2026-03-18T15:19:10.961Z""","""2026-03-18T15:19:10.961Z"""
"p102","Cerebrolysin 30mg GMP 10ml 10vials","45.00","true",,"102",,"""2026-03-18T15:19:10.963Z""","""2026-03-18T15:19:10.963Z"""
"p103","Prostamax 20mg","120.00","true",,"103",,"""2026-03-18T15:19:10.966Z""","""2026-03-18T15:19:10.966Z"""
"p104","Pinealon 20mg","120.00","true",,"104",,"""2026-03-18T15:19:10.968Z""","""2026-03-18T15:19:10.968Z"""
"p105","Ovagen 20mg","120.00","true",,"105",,"""2026-03-18T15:19:10.972Z""","""2026-03-18T15:19:10.972Z"""
"p106","Vesugen 20mg","120.00","true",,"106",,"""2026-03-18T15:19:10.974Z""","""2026-03-18T15:19:10.974Z"""
"p107","Bronchogen 20mg","120.00","true",,"107",,"""2026-03-18T15:19:10.977Z""","""2026-03-18T15:19:10.977Z"""
"p108","Vilon 20mg","120.00","true",,"108",,"""2026-03-18T15:19:10.979Z""","""2026-03-18T15:19:10.979Z"""
"p109","Cartalax 20mg","120.00","true",,"109",,"""2026-03-18T15:19:10.982Z""","""2026-03-18T15:19:10.982Z"""
"p110","Cortagen 20mg","120.00","true",,"110",,"""2026-03-18T15:19:10.985Z""","""2026-03-18T15:19:10.985Z"""
"p111","Chonluten 20mg","120.00","true",,"111",,"""2026-03-18T15:19:10.988Z""","""2026-03-18T15:19:10.988Z"""
"p112","Livagen 20mg","120.00","true",,"112",,"""2026-03-18T15:19:10.991Z""","""2026-03-18T15:19:10.991Z"""
"p113","Testagen 20mg","120.00","true",,"113",,"""2026-03-18T15:19:10.994Z""","""2026-03-18T15:19:10.994Z"""
"p114","Cardiogen 20mg","120.00","true",,"114",,"""2026-03-18T15:19:10.996Z""","""2026-03-18T15:19:10.996Z"""
"p115","Pancragon 20mg","120.00","true",,"115",,"""2026-03-18T15:19:10.999Z""","""2026-03-18T15:19:10.999Z"""
"p116","Thymogen 20mg","120.00","true",,"116",,"""2026-03-18T15:19:11.002Z""","""2026-03-18T15:19:11.002Z"""
"p117","Crystagen 20mg","120.00","true",,"117",,"""2026-03-18T15:19:11.004Z""","""2026-03-18T15:19:11.004Z"""
"p118","Vesilute 20mg","120.00","true",,"118",,"""2026-03-18T15:19:11.007Z""","""2026-03-18T15:19:11.007Z"""
"p119","GHK-CU 10g Raw","85.00","true",,"119",,"""2026-03-18T15:19:11.010Z""","""2026-03-18T15:19:11.010Z"""
"p120","AHK-CU 10g Raw","175.00","true",,"120",,"""2026-03-18T15:19:11.013Z""","""2026-03-18T15:19:11.013Z"""
"p121","SNAP-8 1g","95.00","true",,"121",,"""2026-03-18T15:19:11.016Z""","""2026-03-18T15:19:11.016Z"""
"p122","SNAP-8 10g","785.00","true",,"122",,"""2026-03-18T15:19:11.018Z""","""2026-03-18T15:19:11.018Z"""
"p123","BPC 157 500mcg Tablets","55.00","true",,"123",,"""2026-03-18T15:19:11.021Z""","""2026-03-18T15:19:11.021Z"""
"p124","KPV 500mcg Tablets","55.00","true",,"124",,"""2026-03-18T15:19:11.024Z""","""2026-03-18T15:19:11.024Z"""
"p125","Humanin [Purity not Guaranteed]","155.00","true",,"125",,"""2026-03-18T15:19:11.027Z""","""2026-03-18T15:19:11.027Z"""
"p126","Orforglipron 12mg","130.00","true",,"126",,"""2026-03-18T15:19:11.030Z""","""2026-03-18T15:19:11.030Z"""
"prod-2e18be5a","Semaglutide 5mg","40.00","true",,,,"""2026-03-25T08:39:42.113Z""","""2026-03-25T08:39:42.113Z"""
"prod-65919695","Semaglutide 20mg","70.00","true",,,,"""2026-03-25T08:39:54.798Z""","""2026-03-25T08:39:54.798Z"""
