"id","product_name","unit_cost","created_at","updated_at"
"133","GHRP-2 10mg","50.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"134","Tesamorelin 10mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"135","Tesamorelin 20mg","190.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"136","Mots-C 10mg","45.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"137","Mots-C 20mg","90.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"138","Mots-C 40mg","135.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"139","SS-31 10mg","60.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"140","SS-31 30mg","135.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"141","SS-31 50mg","200.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"142","Ipamorelin 10mg","65.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"143","Thymosin Alpha-1 10mg","95.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"144","Thymulin 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"145","Adamax 10mg","240.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"146","Adamax 10mg（1032 da)","240.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"147","Semax 10mg","40.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"148","Selank 10mg","40.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"149","Na semax","60.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"150","Na Semax","60.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"151","Na selank","60.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"152","Na Selank","60.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"153","IllumiNeuro","240.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"154","Fox04 10mg","240.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"155","Oxytocin 10mg","40.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"156","Snap-8 10mg","40.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"157","DSIP 5mg","35.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"158","DSIP 10mg","60.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"159","BPC 5mg/TB4 5mg blend","70.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"160","BPC 10mg/TB4 10mg blend","120.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"161","CJC No Dac/ipa 5/5mg","75.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"162","CJC No DAC / Ipa 5/5mg","75.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"163","CJC 6mg/ipa 11mg blend","145.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"164","CJC 6mg / Ipa 11mg Blend","145.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"165","Tesa 5mg/ipa 5mg blend","110.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"166","Tesa 5mg / Ipa 5mg Blend","110.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"167","Tesa 10mg/ipa 3mg blend","145.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"168","Tesa 10mg / Ipa 3mg Blend","145.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"169","AHK-CU 100mg","60.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"170","GHK-CU 100mg","51.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"171","GHK-CU 50mg","40.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"172","NAD+500mg buffer ph6-6.5","95.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"173","NAD+ 500mg Buffer pH6-6.5","95.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"174","TB500 frag 10mg","60.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"175","TB500 Frag 10mg","60.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"176","Pnc 27 30mg","240.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"177","PNC 27 30mg","240.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"178","Ll 37 5mg","85.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"179","LL-37 5mg","85.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"180","KPV 10mg","45.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"181","Kpv 30mg","110.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"182","KPV 30mg","110.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"183","Sermorelin 5mg","70.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"184","KPV & GHK-CU Blend","5.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"185","GLOW(TB4 10+BP 10+GHK50)","110.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"186","GLOW (TB4 10mg + BPC 10mg + GHK 50mg)","110.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"187","KLOW","150.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"188","KLOW (TB10+BPC10+KPV10+GHK50)","150.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"189","Pe-22-28 10mg","55.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"190","PE-22-28 10mg","55.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"191","Ara-290 16mg","50.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"192","Tri-Heal Max","380.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"193","Slup-332 500mcg","60.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"194","Bam-15 50mg","300.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"195","Bam-15 50mg (usa no resend)","300.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"196","Slu 100mcg/bam25mg blend 60TABS)","95.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"197","SLU 100mcg / BAM 25mg Blend 60 Tabs","95.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"198","HCG 1000 IU GMP","40.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"199","HCG 2000 IU GMP","70.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"200","HCG 5000 IU GMP","175.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"201","HCG 1000 IU GMP 3ml 10vials","40.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"202","HCG 2000 IU GMP 3ml 10vials","70.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"203","HCG 5000 IU GMP 3ml 10vials","175.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"204","Glutathione 600mg GMP 10ML 10vials","45.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"205","Glutathione 1500mg GMP 20ML 10vials","85.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"206","HMG 75IU X 10vials GMP","75.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"207","Cerebrolysin 30mg GMP 10ML 10vials","45.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"208","Prostamax 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"209","Pinealon 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"210","Ovagen 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"211","Vesugen 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"212","Bronchogen 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"213","Vilon 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"214","Cartalax 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"215","Cortagen 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"216","Chonluten 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"217","Livagen 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"218","Testagen 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"219","Cardiogen 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"220","Pancragon 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"221","Thymogen 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"222","Crystagen 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"223","Vesilute 20mg","100.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"224","GHK-CU 10g - Raw","75.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"225","GHK-CU 10g Raw","75.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"226","AHK-CU 10g - Raw","175.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"227","AHK-CU 10g Raw","175.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"228","SNAP-8 1g","95.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"229","SNAP-8 10g","785.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"230","BPC 157 - 500mcg tablets","50.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"231","BPC 157 500mcg Tablets","50.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"232","KPV - 500mcg tablets","50.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"233","KPV 500mcg Tablets","50.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"234","Humanin - [Purity not Guaranteed]","155.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"235","Humanin [Purity not Guaranteed]","155.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"236","Orforglipron 12mg","120.00","""2026-03-19T17:37:47.982Z""","""2026-03-19T17:37:47.982Z"""
"237","BPC 10mg / TB4 10mg Blend","120.00","""2026-03-19T17:42:14.458Z""","""2026-03-19T17:42:14.458Z"""
"238","BPC 5mg / TB4 5mg Blend","70.00","""2026-03-19T17:42:28.632Z""","""2026-03-19T17:42:28.632Z"""
"239","CJC No DAC / Ipa 10/10mg","165.00","""2026-03-19T17:42:45.922Z""","""2026-03-19T17:43:57.861Z"""
"242","CJC No Dac/ipa 10/10mg","165.00","""2026-03-19T17:43:57.914Z""","""2026-03-19T17:43:57.914Z"""
