"id","identifier","failed_attempts","blocked_until","last_attempt_at"
"6f62c4a7-d569-42fb-b09f-cdc0ac1c2243","jack379ú","1",,"""2026-03-22T20:16:37.604Z"""
"739ca3e8-3cfc-472f-b0c8-6398161e23a4","@jord133","2",,"""2026-03-21T14:13:27.940Z"""
"75c68d42-8dae-4129-85b6-0f250b0a1b90","@sure_swan","3",,"""2026-03-23T06:53:21.583Z"""
"78dd044b-5222-4174-9a04-0aee890d5418","@antots3","1",,"""2026-03-21T16:32:56.300Z"""
"85f5b502-479c-46a5-a8a7-790b00e295f6","leonidas","2",,"""2026-03-21T13:12:27.093Z"""
"86200df1-d67e-4598-ae2b-4faea9ef44f9","3151","1",,"""2026-03-23T00:38:53.332Z"""
"89ed0a60-13aa-4954-9403-cdb334fdc23d","@fbx2000","6","""2026-03-29T20:53:46.751Z""","""2026-03-29T20:38:46.751Z"""
"920dad0a-079f-4c24-844a-33be4250baa7","@hotlinerider","0",,"""2026-03-25T22:02:53.498Z"""
"995d8e5c-294a-4531-b7a9-341ada20faaa","avayamango","1",,"""2026-03-25T07:00:22.209Z"""
"9c08530b-322a-4beb-8f7d-33e1c5622a7d","@jbonwards","3",,"""2026-03-27T06:50:50.234Z"""
"a4cfc352-b814-451a-b4af-bfa60869c5dd","2164","0",,"""2026-03-18T23:14:46.611Z"""
"a9ab03a2-31a8-4292-8de0-fa065c17ffe5","j_p_b8_2","0",,"""2026-04-01T13:02:04.850Z"""
"aaf55f30-e898-4109-844f-b8740e19e235","'or 1=1--","1",,"""2026-03-19T16:30:29.204Z"""
"af73c112-e1b9-4790-b67b-706a949f64e4","8148","0",,"""2026-03-19T17:01:09.207Z"""
"b1ce9110-5b4f-460c-bc4f-d76d7479db40","@test","0",,"""2026-03-18T20:00:57.786Z"""
"b21114fa-3a19-4476-9617-8dc37cf04707","test","1",,"""2026-03-19T16:28:52.926Z"""
"b3a1901c-b3dc-4a4f-b04b-63c6e69afd49","002","1",,"""2026-03-22T11:50:46.196Z"""
"c517508c-903e-41b0-80f9-b9aad958dcd6","@urbanblend789","0",,"""2026-03-18T19:00:49.017Z"""
"c54d8ba2-3ad8-4685-a101-2923acf9887b","@0042","1",,"""2026-03-23T06:53:01.268Z"""
"cc55ef67-c7bb-4d52-8e61-d18f7b26905a","@fergus","1",,"""2026-03-24T09:59:39.363Z"""
"cde452bc-164b-4eaa-9694-a758e5c2b8c0","pink ladybug","0",,"""2026-03-19T16:36:02.797Z"""
"d221a44a-cf78-471f-bda1-9fbd2d6ff1cd","@dmacd9","1",,"""2026-03-22T13:42:15.975Z"""
"dd4349dd-3fae-49d7-bc52-9da9f902108b","fergus","1",,"""2026-03-24T10:00:45.272Z"""
"e9d7b341-0267-4bea-9990-2796c207d530","sublantis","1",,"""2026-03-28T06:10:53.269Z"""
"ec04d373-7f57-402a-84ba-1410259ea824","scott","0",,"""2026-03-19T16:36:02.691Z"""
"f6814e21-9f87-487e-8d8c-c7d4bb2c2383","@entangledpep","0",,"""2026-03-19T16:34:08.109Z"""
"f90871b3-0520-4fbd-b1ab-44d124f554ed","@griffog","1",,"""2026-03-22T10:41:44.493Z"""
